,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
C23H20O9,8.41176731,5.76135534,4.211061929,4.332311904,4.841479938,4.043930851,5.419804922,6.046961454,6.538440979,3.544542841,5.513912897,4.643304786
C20H24O9S1,9.281965955,6.798121031,6.800419591,6.820213025,7.692660973,6.246759955,6.54364884,5.990902993,6.168197878,6.579458747,6.865420139,6.342639845
C20H24O11,212.9553643,221.9015123,257.2723469,227.6481289,278.3752332,265.3141884,271.6633561,235.1719094,223.2876062,248.85473,252.5580427,250.4852445
C19H24O10N2,24.83264584,27.03282827,32.69125112,27.99412294,31.67346016,31.38323649,33.56107285,26.33812734,26.12511181,30.15558479,30.04561875,28.78973359
C21H28O10,197.2259462,220.0721075,245.1090928,233.1589618,292.1226542,255.8541379,266.6032378,234.2749897,214.9169083,240.6353005,249.3922292,248.650669
C20H28O9N2,9.305498602,10.79995747,11.74861532,11.56195005,14.00923896,11.76718825,13.34602164,11.1923401,9.126133045,10.2681116,12.34188896,11.69937797
C22H32O9,72.80173801,78.46630428,87.2941757,81.66456596,99.7930185,89.33427175,94.19779115,82.90112678,82.49866606,84.6009004,92.41618524,89.23077514
C23H36O8,13.72235384,12.51503649,13.59013086,13.72549926,15.62363592,14.76657827,15.46947791,12.72795228,14.27333079,13.81359817,14.86046685,14.42185387
C18H19O12N1,10.37814554,8.802316565,10.55497302,7.494213659,8.681312092,11.05908965,10.27683339,9.624874385,9.291333121,10.60098475,9.533427164,9.262281154
C19H23O11N1,33.97698336,33.13927776,39.67323973,35.04336974,39.04412326,41.67287024,40.19704846,34.28259596,32.62068173,36.70778659,36.75976756,36.11059635
C18H23O10N3,4.857101324,6.469216537,5.610916704,4.681123817,4.849263515,5.872289798,6.257268767,4.925982852,5.102968844,5.855454515,5.784094316,5.88714272
C20H27O10N1,26.68144007,29.40630926,33.13055877,31.09082498,36.13757387,32.87798755,34.76420655,29.7979249,25.81948479,31.29274237,30.09278552,30.86559782
C19H27O9N3,4.40907495,4.259723428,5.116242326,4.217992993,4.837523826,4.815020703,6.007377226,4.874936453,5.112031563,4.878564355,4.363007729,4.661159551
C21H31O9N1,8.339082183,8.329535452,9.921034247,8.731497133,11.43182777,9.730844064,9.754468079,8.313527331,7.625263727,7.554516974,8.867757315,8.362655813
C21H14O11,9.392901395,6.035221491,4.072848798,4.724776433,4.612009043,4.004267478,4.741130206,4.121312632,8.297521139,3.535539435,4.219824047,4.884778011
C18H18O13,25.0070805,19.79593353,22.3835992,16.17363625,18.65143343,23.70552418,20.93944328,21.94190008,26.69699844,23.46513475,22.9229445,21.56942312
C22H18O10,13.39817245,9.385016685,6.052952021,6.658423221,6.018308597,6.828123707,6.943645308,7.492835521,11.59551065,5.935688457,8.799194045,7.295604816
C19H22O10S1,13.08301963,9.536437764,10.03098444,9.102852966,10.54260716,9.77207272,9.963621709,10.92641629,10.64374442,9.057977909,10.27646271,9.124300966
C19H22O12,124.9011222,120.5677091,140.5142762,115.7197456,136.8470403,148.6077536,142.4048836,130.0706699,134.5262872,138.2634563,141.6476609,137.1182897
C18H22O11N2,11.21092358,9.902633013,12.85499441,11.16106115,11.34476954,13.22310744,12.35814885,11.03052975,10.26545943,12.66451246,11.61456122,11.2793449
C23H22O9,13.49695858,9.174889147,7.327740867,7.599753063,9.044024813,7.98600149,9.22945966,8.373760068,11.78265225,6.593631042,8.929992437,7.886557699
C20H26O9S1,14.98335211,12.35162651,12.13046979,11.53892936,13.36526617,12.03239128,12.87489222,11.12262775,11.11058054,10.43280363,12.16120226,12.43183606
