,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
C9H6O3,4.825915858,8.712742704,6.97383241,8.570003681,4.703827227,5.563733968,7.126441628,5.761445926,5.086729836,7.835340397,7.773714607,7.503694834
C10H10O2,8.603591918,10.74765701,8.122926845,11.23284591,7.415496311,8.655542882,9.486998564,9.49738694,9.745350366,12.19430293,11.9344762,10.48956422
C11H14O1,5.303921322,5.819572918,5.469964517,6.687688516,6.152771344,4.99652944,5.489378487,6.507017404,6.842496956,7.634988389,7.650059842,6.311489651
C9H8O3,5.83738618,8.915235249,5.652180105,8.268093634,5.163685938,3.359813727,5.589553226,7.059146913,7.319127766,7.304059231,6.735773734,5.923216164
C10H12O2,7.176729373,9.771149678,7.589640349,10.81145488,7.824263159,5.216347778,7.774355234,9.267978752,10.46531183,10.41915768,10.05176388,9.066525459
C9H11O2N1,6.099730641,5.306290881,5.226998561,6.338319822,4.238515342,3.928546949,4.271789738,4.498289754,5.952020009,5.632255772,4.476577083,3.984672475
C8H6O4,6.850000866,6.935592404,5.723244815,8.189902631,4.298998463,2.953630414,5.91100859,6.157961001,5.823166112,5.603509226,5.594460268,5.04385302
C9H10O3,11.37512041,12.5728112,10.35513247,14.65846187,11.54377559,7.449913175,11.06380037,15.87135348,14.92518234,15.80474602,13.14940793,11.79620355
C10H14O2,9.290061475,12.45567064,8.549647434,13.2952773,9.886781594,6.421602077,9.718425579,14.22876352,15.11275429,15.11272968,12.57263674,12.13903657
C8H8O4,7.472816173,9.889868542,8.058216639,9.437208981,8.19218651,7.559946143,8.106425081,9.012753602,7.578196345,10.54426987,9.367517329,9.717737366
C9H12O3,12.12760242,11.6296549,12.08839097,13.91546284,11.71184644,11.71315163,11.29591057,13.89853437,15.05678335,15.64775696,14.28999352,12.81725637
C9H14O3,5.330080319,7.142019384,5.167616383,6.745118606,4.825219563,4.149172237,5.165054586,5.632077614,9.350254547,6.282190075,5.932816869,5.690711594
C11H10O2,6.409145564,6.597987639,6.326115939,7.520437068,6.033340676,5.057743404,6.425406663,6.258982369,7.092460568,7.118965108,6.932614453,6.172876381
C10H8O3,11.46854245,13.12414448,8.076253674,12.73843173,8.883762118,6.400904046,9.807810041,11.6435636,14.50515226,10.16832573,9.850231705,9.178521312
C11H12O2,0,0,0,0,10.96382986,0,0,13.48710824,16.95448951,13.63707877,12.20635408,0
C12H16O1,5.688703993,6.368842027,4.774802337,9.433870744,5.470763987,4.24554669,5.030325044,5.25251772,7.758962407,7.487637023,6.268146536,5.700330557
C10H11O2N1,5.542618871,5.907469646,4.052837874,5.786441197,3.188074143,2.975298791,4.537310358,6.302098622,4.332441262,5.743707623,4.891998895,3.658702249
C9H6O4,8.465747013,10.24191265,6.412510117,13.33853478,5.546629895,4.037024658,8.172407632,8.467093731,8.764595026,8.181735101,7.701794445,6.833919714
C10H10O3,14.54823814,17.05572842,9.243974094,21.33475679,10.57835638,7.500049864,13.17304908,13.67777485,15.8107811,17.29766152,13.60656654,12.83092576
C11H14O2,0,18.84573146,0,24.33511611,0,0,15.04535499,0,0,0,0,0
C9H8O4,9.980192074,15.35792169,7.837265648,15.44237207,8.018945177,5.116220754,10.65364717,9.492631981,11.26534434,8.943859373,8.685426553,9.738641976
C10H12O3,17.57619578,24.79696727,13.26872056,26.50270075,13.74133609,9.210403071,18.88074934,18.20534123,20.08754127,20.8864,18.07554968,17.84888202
C11H16O2,11.3588352,16.79409259,10.33588135,17.22950053,0,7.169500872,14.15930043,0,0,17.17749513,12.42868588,15.83367732
C8H6O5,4.80822905,7.747387587,3.638161629,7.867986835,3.913333245,2.372742312,4.565060229,3.297525797,5.258560906,4.095797424,4.266444713,4.195072307
C9H10O4,12.32140224,19.09251526,10.31167943,21.01305978,10.77067932,7.941208718,14.45180708,13.26329084,15.8416753,15.19960361,14.57571898,14.84278417
C10H14O3,15.55642122,0,0,0,13.31580493,0,0,17.87609944,21.43153929,0,0,0
C11H18O2,4.241860171,6.824374242,3.803034998,6.493929519,2.60636095,2.930213813,5.034675761,3.928738756,6.650737534,7.041817285,5.324870808,6.764418561
C8H8O5,6.539499573,8.630883807,4.488103273,10.55306112,6.166455493,3.588919514,5.56703304,6.039873007,6.899116349,6.738313666,6.005441159,6.24550131
C9H12O4,11.80596009,15.76521237,0,20.8591188,0,0,13.28215826,13.87278975,15.58850771,16.83771986,12.2152875,13.41107535
C10H16O3,6.798939201,8.192070115,5.50902287,10.90960592,5.180851761,5.273757546,7.370685026,7.874282147,11.40189133,10.18324746,7.39949331,8.305720108
C12H10O2,5.491656542,6.594045659,3.723351106,6.634782068,3.603658484,3.036797944,3.967480103,4.466483146,7.000107103,4.963610462,4.41158358,4.246101405
C9H14O4,6.817679075,9.989896007,6.43903568,11.06123324,6.439996724,5.673698771,6.025269561,7.811971071,11.5597304,9.012267991,8.386193289,7.844414711
C11H8O3,7.691193674,11.2071629,7.878494208,10.83500868,6.650521218,6.706795938,7.417999683,8.54613319,9.317041609,9.182042548,9.942184318,8.288466125
C8H12O5,4.661742569,5.924446943,6.115634736,6.029748811,5.028796278,5.692888656,5.814033984,5.578036881,5.65548322,6.251343282,7.428962719,6.448193626
C12H12O2,8.224188844,10.4568196,9.068883536,10.55725004,8.183721183,7.423278796,8.806389429,0,0,11.0758358,11.31066842,9.487444275
C13H16O1,3.825130657,4.861219814,4.791451752,7.679986685,4.973729458,4.260047742,4.151210541,6.094822891,5.605804313,6.640837759,5.428109944,5.957943054
C10H6O4,6.100382922,11.64397278,6.632811186,11.20005215,5.170321521,4.223178623,8.311472726,7.065002629,9.194215441,7.513174088,7.670247857,8.227765666
C11H10O3,12.83765515,18.92315572,11.54617306,18.79437538,10.64109616,7.947123014,15.00529199,13.09791819,15.93228579,17.71771905,14.84530844,15.71655868
C12H14O2,0,16.48150299,11.83639376,18.07458807,0,8.820786303,13.98310154,0,0,18.15274252,17.31231056,16.44641984
C10H9O3N1,6.882804402,9.996861806,6.670520782,8.543252065,3.394283623,3.928815599,7.650871652,4.949761556,5.316311174,7.571825761,6.496452787,6.569473957
C11H13O2N1,6.612483279,7.868864706,5.861431815,8.522977723,0,3.762268527,7.485329985,0,0,8.877559225,6.469832641,7.732711713
C10H8O4,16.96811823,18.73189914,10.3361842,20.42700607,10.8640298,8.218464892,11.98244843,14.16296639,20.90434728,15.31777872,13.76329568,13.04439769
C11H12O3,22.72759472,23.092959,12.801355,26.17525796,15.46111575,11.20886067,16.45982008,20.06361901,0,21.76078723,18.05257053,17.40371948
C12H16O2,18.71351098,20.17000444,12.31319191,23.85288328,13.46243674,9.849286358,15.43551184,19.17819563,23.40248212,20.03963158,16.41558509,16.50921693
C9H7O4N1,4.75167008,7.633583185,6.260538052,8.575185337,3.965968056,4.139345484,5.541159679,4.476468169,4.645573713,4.55936183,4.158731087,3.035527527
C10H11O3N1,6.869690452,10.22916628,7.597754334,12.73589682,0,6.174472223,7.735371123,0,0,9.879016,6.956694006,7.003182168
C9H6O5,5.381818955,8.521620415,6.636855448,7.184924222,5.379169502,5.054958172,5.098529488,6.925631697,7.243800304,6.09443749,6.029511705,5.370355121
C10H10O4,17.28236497,18.05511282,15.8418,18.71194402,17.42242638,15.5837034,13.94808898,20.06808656,21.81985871,18.2752826,18.58744117,15.64188234
C11H14O3,24.88072401,26.49216211,22.03766336,28.59582858,27.1703917,23.34390208,21.34554702,35.01017113,36.30863833,32.81455656,30.22951743,26.29212222
C12H18O2,10.54567957,11.6039117,10.91282725,12.50515026,12.45950166,10.79157603,0,15.16897744,18.18584021,14.84586987,14.01604174,13.37953324
C9H9O4N1,0,9.299381031,7.249540407,10.21809036,4.918719996,4.886482438,7.993549777,0,0,6.935004892,6.964430411,6.681232942
C10H13O3N1,6.712246683,9.063945603,7.522095273,11.47896926,6.335919345,6.133913686,8.788428155,8.002496913,6.413386467,10.82378462,8.371901121,8.883862062
C9H8O5,8.408397956,13.44528497,9.122776211,12.48591682,8.036097071,5.574866376,0,8.930463683,10.54202464,10.32480798,10.55929715,11.30056246
C10H12O4,20.16871445,26.89001768,18.42669061,26.70816276,17.92544588,14.22977072,22.31549163,21.03208407,0,27.15105821,26.18840525,26.9705272
C11H16O3,17.49579409,23.60358011,17.10868592,23.37257062,14.63375077,14.12891894,20.64878694,19.67416795,0,27.52055357,24.57112394,27.31157008
C9H11O4N1,8.545400523,8.643489845,6.240801168,13.42891782,6.759869044,4.646418664,6.648048828,7.221315056,8.438790097,8.97657922,7.729480608,6.474885693
C9H10O5,10.76059355,13.18109157,11.43633609,17.95664192,12.28519673,9.992982696,11.5376963,13.08131689,12.37968045,14.95299889,13.6442243,12.92935343
C10H14O4,17.8574116,22.36519778,18.99274528,28.54150568,18.37982683,17.55199007,17.55894054,20.22877171,0,25.18570443,23.84005531,22.18565548
C11H18O3,5.388591539,6.382821911,5.79844826,8.46922549,4.653487584,6.009466878,5.148486563,7.632136066,8.392526412,9.18608267,7.694282378,7.850645755
C9H13O4N1,5.436673152,5.876626385,6.688857317,6.609591398,4.335707219,5.371521859,5.89890848,4.799080979,4.671632959,5.524313585,6.213262187,4.961355034
C12H8O3,5.217233397,7.477188798,3.108704318,5.970298145,3.062960866,2.750227757,5.152762827,5.08028146,5.381338931,4.474022737,4.357481959,4.783507219
C9H12O5,13.0643033,18.76437653,11.65799061,22.11782447,12.47235984,9.165670946,15.77756469,15.74014927,17.89314113,17.38635915,15.75034591,16.47727287
C13H12O2,7.264845311,9.079271419,0,8.639608663,0,0,5.919934765,6.408168223,8.516334113,8.288194882,7.118347957,7.211968431
C10H16O4,12.0068374,18.27457965,11.2017327,19.09572946,10.49088271,9.495429026,15.65155589,15.28667733,17.28445539,18.14482676,15.75411872,15.64304227
C12H10O3,12.51960841,12.48630643,9.910553069,12.92914639,10.28119156,9.813177076,10.26501248,14.88485399,14.33266585,11.80191869,13.72274608,11.71340123
C9H14O5,6.647682915,6.892639531,7.333546622,8.340409862,6.566602967,7.945238459,7.356398182,9.06954134,9.801967794,8.301189065,9.296813017,7.687406189
C13H14O2,8.529045838,9.893621156,8.714674908,11.19823568,10.53459415,8.778998295,8.943156797,11.48831478,11.55986894,11.40479218,11.60116722,10.99346409
C11H8O4,13.88996137,19.43282321,9.889038612,18.50070683,9.37887677,8.624842675,11.63779383,13.41445826,15.53156212,13.4347838,11.9190345,13.25481044
C12H12O3,17.03090832,24.27904916,12.79160482,28.44478579,15.42945538,12.44078845,17.65656868,19.48579181,23.85952059,22.3689952,19.0555326,20.87829622
C13H16O2,12.09576926,19.97824993,12.13534756,22.82444169,13.39721579,10.73965352,15.80138299,16.90560492,0,21.03155243,17.48771876,18.75266115
C10H7O4N1,5.836419242,7.611097677,5.02650808,5.831800894,3.936279187,4.129543291,4.423761524,4.049651962,3.86684999,5.041746214,4.612206123,3.515213821
C11H11O3N1,7.79745405,10.40909335,8.727871022,10.16640115,6.972897655,7.729799206,8.213381313,7.770661389,7.194137118,9.781764201,7.984479055,6.934924209
C12H15O2N1,0,7.555092889,6.443832379,8.255335836,6.088514839,6.365351109,5.687207567,6.189014871,5.819562247,7.2729359,6.861859379,6.278014568
C10H6O5,9.554370243,17.93498842,11.07063924,13.33278573,7.049957444,5.60092737,11.06964637,10.17826302,10.67531656,9.177347576,9.643338325,10.56518732
C11H10O4,23.23941257,33.67188945,18.52379043,30.83168829,17.76139505,13.81893766,25.07533289,23.37853306,0,25.85780389,24.71910225,23.77655918
C12H14O3,24.89337918,39.51702602,22.31108791,37.631618,23.98902033,16.92045354,31.18164465,30.11656384,0,34.54568608,31.23350621,33.53964801
C13H18O2,14.55742864,24.99767404,15.14473294,23.45577428,14.59179205,11.2902053,20.28912164,19.54254044,20.43696881,23.87348518,21.59940752,21.78102308
C10H9O4N1,6.452595752,10.74454493,7.148262325,11.02680997,5.681306508,5.392612338,8.096341426,7.59793536,6.05392745,9.005871646,7.500891069,7.180198075
C11H13O3N1,8.227096548,15.21878677,10.78324469,17.58722992,9.172704983,9.527794259,12.21616145,12.46076055,0,14.33934653,11.09387467,12.49025326
C10H8O5,11.23670131,16.1073159,14.88691591,16.35006564,12.38268278,11.55926265,12.35813506,15.32135803,13.14802194,11.66930606,14.1604339,11.94680087
C11H12O4,0,29.58990822,25.68619762,30.95561698,27.61065749,23.58808431,23.49703512,35.17506966,0,30.80253886,32.44435153,27.94348018
C12H16O3,0,32.91034264,29.45428419,35.95482852,30.51722,28.97300857,27.25965371,41.00915775,0,37.44924867,38.5261374,35.64781806
C10H11O4N1,0,11.80469392,6.605051439,12.49126502,0,5.270600916,9.904061482,0,0,10.18198916,7.640699847,7.63756071
C11H15O3N1,6.736749139,8.39465093,5.313807484,10.33065892,5.527968648,4.476107494,6.83890959,7.190522201,0,10.22094395,7.601928575,7.298359654
C9H6O6,2.81175402,5.194459355,5.207728683,7.958240068,3.664279266,4.208396893,3.408353261,4.607712461,5.165429289,5.294210654,5.609992849,3.829963718
C10H10O5,0,16.40497501,0,21.09454249,0,12.01825311,13.40734945,0,0,0,0,15.15898613
C11H14O4,21.3682203,30.93592433,21.30150981,39.89591763,24.18997411,23.93005692,25.57408741,34.97314033,33.59316724,36.18419091,32.25343122,31.62753798
C12H18O3,12.30934423,18.33327554,13.35231136,23.17616242,13.94737841,14.95399529,14.57920431,0,0,23.39607848,18.36695238,19.11406169
C10H13O4N1,8.604336644,10.81259897,8.338372253,9.677597985,5.896359882,7.04119273,7.979557991,8.752956301,7.086484911,9.66595457,9.975076119,9.398128102
C10H12O5,20.15132565,24.08596532,15.83006655,28.52509615,19.70118633,15.54593911,18.80443565,24.97104149,29.5248437,25.60706138,22.2884397,21.28256972
C11H16O4,0,28.76532291,18.06402562,30.48465857,20.19792587,19.32134088,22.54376125,29.6269028,0,31.2768759,27.60225078,27.14277992
C12H20O3,3.668135331,5.585849328,3.899582714,5.962209308,3.317295123,3.23073823,3.582793528,6.339874346,7.021269494,6.669122724,5.022778456,5.268631411
C10H15O4N1,3.217567588,5.873770807,6.050820006,6.752374721,3.446345666,3.946422157,5.405990308,3.542387601,3.392208773,4.730506738,4.485093761,5.091627705
C9H10O6,6.881926464,14.34284029,8.232768499,13.52947722,10.69779607,7.320698342,11.43760636,11.30017033,0,11.2955588,12.8906735,12.54142376
C13H10O3,8.940417002,13.35629354,6.997096968,10.97679029,8.092467572,5.905952667,10.24917314,9.031807653,11.09154431,10.36340194,11.54629597,10.81526456
C10H14O5,20.85125539,33.88302267,22.99190422,30.74080399,22.11301194,20.08422691,29.98526143,29.64030349,35.33140531,32.29837702,33.60890124,33.91688133
C14H14O2,6.705541279,10.06715731,6.276350608,9.3135995,6.758553072,5.246442522,8.969324526,8.224974044,8.35346358,9.798640191,8.755255617,9.321737701
C11H18O4,8.805778954,15.05128467,10.91304501,14.57949203,9.435838066,9.893838047,13.2165659,14.87241132,16.43291747,16.35745011,14.83452709,16.14664067
C12H8O4,10.97419378,14.64913177,7.323658414,13.23141728,7.231517428,6.290354831,10.26043013,10.62541489,13.55288985,10.6575516,9.994363505,10.00818684
C9H12O6,9.193525025,12.78187648,7.576148084,12.69680785,7.858730828,7.664046271,9.83616864,11.46579715,13.23144729,11.25338116,11.95246013,12.71742329
C13H12O3,0,18.28863497,0,18.93369963,0,8.896852167,13.38912484,0,0,0,0,14.52627643
C10H16O5,11.48456238,14.30149514,9.71439831,14.43525308,9.013306766,8.374888995,13.13640543,12.3186954,15.80957556,13.50720684,13.94367699,14.47409529
C14H16O2,9.389621041,13.51503953,8.047854055,14.26638676,9.575490957,6.498483412,10.77083114,11.1905218,11.7731248,11.39392909,11.11574359,12.66818792
C12H11O3N1,6.577795247,8.220927673,6.097087814,9.542424276,5.067538809,5.78572205,5.71476441,0,0,8.629269578,6.846371011,6.060656582
C11H6O5,7.084781858,11.57014421,7.983709349,9.966068545,6.10840602,5.449685293,8.84292484,8.806023361,9.532524839,6.898104084,8.859587789,8.112609431
C12H10O4,19.65003616,0,0,0,13.79435029,0,0,17.88800443,20.59404938,17.21003508,18.68611084,0
C9H14O6,4.630009899,7.467902322,6.468802817,7.897429288,5.535119641,5.620602428,6.540539708,6.024138825,7.359374529,5.496195159,6.511231295,7.823763477
C13H14O3,19.89699115,23.96113318,18.73669042,24.70413623,17.92009513,15.56207512,21.15897562,23.46683218,0,24.433627,24.83497394,23.80684373
C14H18O2,13.27584793,17.02052748,12.14529607,16.32670859,12.57351029,11.11331071,14.30720966,15.27930441,15.84831809,17.1637361,15.72320749,16.47516404
C11H9O4N1,6.4173186,9.563670245,5.659051867,8.829373858,5.363330303,5.037708978,5.139634152,6.010145717,5.914384771,6.38152156,4.809289194,4.097298538
C12H13O3N1,8.470522561,12.36070551,7.865913176,14.02044954,8.000344567,8.353249188,8.201090933,8.807824067,0,9.579877358,9.191007088,7.579948856
C12H12O4,28.37942416,41.21423673,24.99093561,37.89986238,24.80181784,18.3790472,32.92443554,33.74211825,0,34.03265639,33.97405238,32.18633219
C11H12O3N2,6.19231436,10.97343629,7.814665083,9.92436303,4.714341898,4.692462961,8.328719105,7.05929355,5.22399701,8.088505947,6.879353693,7.289469237
C13H16O3,28.64049047,45.02293048,30.25061792,42.29716909,28.592773,22.02922028,37.00755263,37.21374652,36.10761183,40.46041216,38.16105176,40.07295736
C14H20O2,9.840690053,18.30883904,13.10968645,18.22156031,11.29690779,9.584169527,15.03684796,13.98553526,14.07664896,15.44211373,14.99008869,16.65199189
C11H11O4N1,8.878946401,16.39854562,11.01109894,17.10994282,8.70145811,9.39031996,11.32526188,10.0712393,8.314516684,13.36649032,11.04144576,10.37377849
C12H15O3N1,0,18.30598723,13.82893664,18.91819467,0,13.75646365,14.4864322,0,0,0,13.42923017,14.94479068
C10H6O6,8.619841526,16.66995907,12.2229786,14.74687087,9.853339008,7.653166974,10.35905858,11.40143316,11.69177649,8.097016932,11.25884867,11.55515884
C11H10O5,20.85730277,28.84153704,21.54714178,24.99609361,21.41329794,16.99671789,24.01602175,26.78949258,0,23.16843971,26.78777732,24.96021059
C10H10O4N2,5.203147916,6.639919746,5.927640864,7.200002212,5.19857806,4.391018319,6.110419812,6.024341185,4.212982173,5.083697688,6.525652826,5.253227145
C12H14O4,36.24453055,50.71560257,42.01638182,50.00050466,43.58085637,34.05786751,45.96203397,55.03896477,50.2800845,53.04283613,56.10342129,51.08968971
C11H14O3N2,6.667792809,10.15040891,8.362290084,9.97507501,0,6.661344574,9.059457662,0,0,9.8476737,7.844052936,8.461170331
C13H18O3,28.60678546,39.94004689,34.32516255,41.04875489,35.09948609,29.16771921,35.04127921,43.90136144,42.06633357,43.68651013,45.0230839,44.11301945
C10H9O5N1,7.038414779,8.946643589,5.673677812,11.1657995,6.187279983,5.04943031,6.142069541,7.668388717,7.121426093,7.519438847,6.53599205,5.851766957
C11H13O4N1,11.3847094,15.87451952,11.44176462,18.71896175,12.34149267,11.19164406,12.25685868,14.13464388,13.08003878,14.91251646,12.38428977,12.24633025
C12H17O3N1,5.599369621,6.812487191,6.275409225,10.54510045,7.05322689,6.941505269,7.330523442,8.891188349,7.645124286,10.45121445,7.148466639,7.131798204
C11H12O5,24.08334944,31.60010839,20.93151877,34.96334675,23.24053341,19.10959506,27.15085199,32.76842313,0,30.53062529,31.35598525,30.49678836
C12H16O4,34.47399168,47.59196085,32.70507505,52.87021962,36.34858837,30.51894134,44.23723056,53.08963109,51.23253456,54.02464948,49.77238054,52.5161128
C13H20O3,0,17.31176777,13.29314024,18.91072629,0,11.65889548,15.26580421,0,0,0,0,19.21299324
C10H11O5N1,6.308604706,10.29880768,7.674876727,12.07263749,8.212139147,7.535705049,7.388552543,8.132096912,0,9.032889061,8.438937415,8.091127726
C11H15O4N1,5.634797785,10.49118462,8.047784372,12.3125783,7.236724779,8.629427758,9.747785857,10.70229096,8.420515318,11.12776216,8.946602498,9.447224219
C10H10O6,9.956026668,13.80031819,8.916993214,12.57121045,10.3814554,9.400511595,11.69923746,12.95249798,12.91710929,11.22128944,13.96223814,12.33312415
C14H10O3,6.080120867,7.785613856,4.454919686,5.553514855,4.300257077,3.734082396,4.871117459,5.463945242,6.456473681,5.834663822,6.463556892,6.323717742
C11H14O5,32.65644492,38.84416885,31.26204261,39.64887338,32.52132678,29.09253348,34.68791077,45.08602266,44.99546631,41.73835719,45.11482691,44.09054721
C12H18O4,23.48997578,27.75032449,22.72417352,27.10237846,23.17403008,21.59922892,25.01665784,32.79121643,37.27470606,34.27898663,33.06697458,32.92728448
C13H8O4,8.441321499,10.83590456,5.596822758,9.098790586,5.185708405,4.63371195,7.537630974,8.272417076,8.488054383,8.16296858,7.730630957,7.196752942
C10H12O6,16.89106753,23.1928914,15.35254343,22.672318,16.87488341,13.15992572,20.83386099,23.04282945,23.31086652,21.8916769,22.08621076,23.88287094
C14H12O3,0,12.96661616,7.544683108,13.43131149,6.559288093,5.635822217,10.06064182,10.59885887,0,10.47943465,10.04589669,10.41241656
C11H16O5,0,46.60742998,31.58920976,43.92649012,0,27.92483897,38.30285728,0,0,0,43.50576916,44.86142803
C15H16O2,5.198088718,7.888253967,5.140584952,8.707574324,5.606110058,4.474880528,6.482284489,6.053132929,6.682645691,7.575595513,5.87442989,7.866733347
C12H20O4,7.310676094,9.920460572,7.834922576,9.705334173,5.896436906,5.987661671,8.697504293,10.47575393,12.82738209,10.54314727,10.61854627,10.87989774
C12H6O5,4.775845821,7.749851608,4.527450407,6.377964757,4.158947339,3.369291637,5.295486493,4.503833621,6.866050788,4.630455639,5.443754694,5.730670379
C9H10O7,3.300483651,6.293211082,3.863308308,4.881136397,4.697013012,3.724715756,4.618857876,6.359277393,5.170286844,5.057068864,5.261829214,6.769240603
C13H10O4,16.19426483,22.50755268,13.62966226,19.71700243,13.5251462,11.29886724,16.32921031,18.150581,0,18.28706166,19.2447368,19.15740839
C10H14O6,19.62097061,28.92129104,20.09208377,26.26112471,21.66167427,21.31065539,25.82541012,29.16507743,32.3544968,30.1351354,32.50158898,33.58411588
C14H14O3,15.25116861,21.83080861,14.75213933,21.37728931,15.34931051,13.35748425,18.41313165,18.86233889,19.26218346,20.69879854,20.21562173,20.12321803
C11H18O5,12.10141012,18.30643085,13.7826809,18.18633126,11.03059376,13.51248792,15.80189728,16.66105301,20.35481287,17.03859307,17.05065483,18.47681131
C15H18O2,8.561825259,13.41386078,8.894880426,13.70544044,9.009684973,7.962307718,10.96485826,11.4926699,11.64002055,12.44569926,11.87435347,13.29428688
C12H9O4N1,7.855928522,8.391441516,5.967227196,9.452709864,5.698607534,4.757858533,5.126743316,5.923274848,0,6.634195716,5.892268082,5.002986245
C13H13O3N1,8.694386458,9.265598449,7.586788058,11.85911522,6.894303931,7.216289969,7.454564738,9.680209436,6.912799836,8.458004391,7.94595259,7.460490968
C12H8O5,13.93231026,17.15139519,9.126032526,16.46244235,9.851563346,9.161709371,11.21537231,15.54976713,17.11000395,12.89501941,12.02263799,11.35524218
C13H12O4,23.44217552,25.87043827,15.1514104,29.16780438,18.89681564,16.84595747,19.12393729,27.96272783,0,26.79901042,22.60247276,22.52293863
C12H12O3N2,6.453030415,8.430837931,5.832748776,9.301388687,5.587397189,4.392176619,5.872897242,5.924501714,0,7.142599307,5.256736565,5.451321366
C10H16O6,8.428912081,9.564949031,7.710618464,12.47396725,7.923807562,8.962586057,9.129363511,10.96401116,13.50619583,11.14441712,9.941742191,10.9782041
C14H16O3,20.30359194,26.18101652,16.02414825,30.70269143,20.02790482,17.40950366,21.40128529,27.76453873,28.19418824,28.83704116,23.03175034,24.62653787
C15H20O2,8.246067821,11.63000195,7.545284789,14.79134641,8.508243656,7.943817023,10.26451888,0,0,12.93086238,10.87574389,11.64707697
C12H11O4N1,9.698630585,11.71687942,7.203918502,12.51783784,5.751815112,5.958840506,7.709355748,7.669035876,8.56571237,9.08107651,8.568822078,8.190664362
C13H15O3N1,8.635588717,12.4067833,9.415930952,14.06944628,7.464383139,7.255808993,10.14271465,10.22972391,9.228746914,11.94284081,9.522940564,11.15863233
C11H6O6,5.708647372,9.395729063,6.715055908,9.974323927,5.384254761,5.43353275,6.354646664,5.528263294,7.249184487,5.463433163,6.46062166,6.611841609
C12H10O5,17.61949438,26.7750884,17.49582285,28.32427616,17.5282155,16.55392659,18.01770926,23.48901156,0,21.0806836,21.20313227,20.81107186
C11H10O4N2,5.177723883,8.181295117,5.166193253,7.882702347,4.229495275,4.398082896,5.494485462,5.456712113,0,5.770316914,5.078532321,4.858501539
C13H14O4,27.14817474,40.81238561,26.14074697,43.75495909,30.04052979,29.0903502,31.40924695,40.08032973,35.15126315,40.08286945,36.12673979,38.33069407
C12H14O3N2,6.257250778,10.20230725,8.499642905,11.63045209,5.770263312,7.712343513,8.791198799,8.53594092,6.947396155,9.166849428,7.507403437,8.267473228
C14H18O3,21.80587563,35.71664325,23.82310061,39.64191117,26.57180603,27.31249483,27.93183854,34.03003961,29.29781592,36.87217124,31.13992592,34.30287156
C15H22O2,5.745734374,9.825326443,7.68663095,9.461925325,4.920723454,7.732376436,7.74467715,8.719162269,6.685337783,9.359523148,7.993283934,8.450512023
C11H9O5N1,7.317952244,9.574602168,6.419370489,8.013958178,4.834657529,4.497148353,5.812502167,6.284564712,5.676153371,5.875553351,0,4.916559851
C12H13O4N1,12.51563271,17.12013849,12.42107911,17.65584135,11.0073348,9.964710357,13.45563821,13.40400693,0,15.51245194,13.88764966,13.68776929
C13H17O3N1,8.078809978,12.84175686,9.37067354,12.13917201,7.331357638,8.628241891,10.74699078,9.734198356,8.816715483,13.06074767,10.70424443,11.77529679
C11H8O6,15.08360702,18.89276362,0,18.09264508,14.93040838,0,0,17.1523994,15.07357453,12.78856888,0,0
C12H12O5,32.78156575,34.883074,26.05913006,36.04801179,30.99453297,26.36455951,24.97750621,36.99411121,33.1480958,30.60331665,32.59789409,28.28536142
C9H16O5S1,3.665797799,5.416758369,3.956974253,4.95636552,9.280087044,6.614550465,5.516734719,15.25844379,13.40146366,9.999478453,12.10981645,9.628700409
C11H12O4N2,8.077939504,9.49236303,8.957303842,10.41328049,6.175509156,7.246351633,7.272036589,7.998877904,6.284852869,7.803564273,7.041248359,6.622160407
C13H16O4,50.21376359,56.65980392,46.43918325,62.67591481,51.3152917,46.84081802,42.82347001,63.72600467,57.64452586,56.92698668,57.55384055,50.1738605
C12H16O3N2,5.973306397,8.200670044,7.743599034,9.982762997,7.249961531,7.958226854,5.900778096,6.525860297,5.904063451,9.19419067,7.017788603,7.271184522
C14H20O3,24.42415941,29.86460199,24.26705287,32.49175148,25.25696248,25.37915964,21.74859954,31.4303441,30.37332206,28.92957331,29.27952055,26.79479755
C11H11O5N1,10.1702631,15.8694255,8.847209589,16.22885718,9.52551841,8.018545654,10.07283223,11.48902939,9.245790602,10.61845699,9.005639567,10.07816962
C12H15O4N1,13.08837798,21.38083289,14.33674214,22.15435649,13.89963794,12.78450828,16.69730956,17.54836899,16.24320267,19.97270948,14.3672495,16.22430585
C13H19O3N1,4.621304588,7.452109505,5.727864627,8.392338269,4.999994011,5.175727091,5.944571367,6.072920166,5.931246694,7.495154939,5.892258257,6.470787889
C11H10O6,17.10101246,25.82805349,17.37380218,25.08075209,15.72084418,12.14631265,17.99093487,19.69310957,19.23481845,18.20469458,20.73199671,19.98055935
C15H10O3,5.72494234,5.870706248,3.833200129,5.96380291,3.785624076,3.076072878,4.998621542,4.375894534,5.515207585,5.545012784,4.809873784,5.275664215
C12H14O5,43.37042105,61.58953498,43.68179239,62.73366982,44.77134788,34.01858456,50.17719889,57.88496011,54.40994492,58.23337911,58.99341952,56.57212395
C11H14O4N2,0,11.75448176,9.117243827,12.21324676,7.387581465,6.538146785,9.084919459,0,0,0,7.707412734,8.243998967
