Id	Sample_1540_DNA	Sample_1540_RNA	Sample_1541_DNA	Sample_1541_RNA	Sample_1542_DNA	Sample_1542_RNA	Sample_1543_DNA	Sample_1543_RNA	Sample_1544_DNA	Sample_1544_RNA
Bac244	0	0	0	0	0	0	0	0	0	0
Bac245	0	10	0	0	0	0	0	1	1	3
Bac246	0	0	0	0	0	0	0	0	0	0
Bac247	0	0	0	0	0	1	0	0	0	0
Bac249	0	0	0	0	0	0	0	0	0	0
Bac251	0	0	0	0	0	0	0	0	0	0
Bac252	0	0	0	0	0	0	0	0	0	0
Bac253	0	0	0	0	0	0	0	0	1	0
Bac254	0	0	0	0	0	0	0	0	0	0
Bac256	0	0	0	0	0	0	0	0	0	0
Bac259	1	2	0	0	6	1	0	1	2	1
Bac26	2	5	0	2	6	3	0	2	1	0
Bac260	0	0	0	0	0	0	0	0	0	0
Bac261	0	0	0	0	0	0	0	0	0	0
Bac262	0	0	1	0	0	0	0	0	0	0
Bac263	0	0	0	0	0	0	0	0	0	0
Bac264	0	0	0	0	0	0	0	0	0	0
Bac265	0	0	0	0	0	2	0	17	0	0
Bac266	0	0	0	0	0	0	1	0	0	0
Bac267	1	1	2	0	4	0	2	0	4	0
Bac268	0	1	0	1	0	0	0	0	0	1
Bac269	0	0	0	0	0	0	0	0	0	0
Bac27	4	0	2	0	1	0	4	1	4	0
Bac270	0	0	0	0	0	0	0	0	0	0
Bac271	0	0	0	0	0	0	0	0	0	0
Bac273	0	0	0	0	0	0	0	0	0	0
Bac275	0	1	1	0	1	0	2	1	2	1
Bac277	0	0	0	0	0	0	0	0	0	0
Bac278	0	0	0	0	0	0	0	0	0	0
Bac279	0	0	0	0	0	1	1	4	1	1
Bac28	51	9	16	3	30	2	24	5	53	6
Bac280	0	0	0	0	0	0	0	0	0	0
Bac281	0	0	0	0	0	0	0	0	0	0
Bac282	0	0	0	0	0	0	0	0	0	0
Bac284	0	0	0	0	1	0	0	0	0	0
Bac286	0	0	0	0	0	0	0	0	0	0
Bac287	0	0	0	0	0	0	0	0	0	0
Bac288	0	4	0	3	0	1	0	0	0	3
Bac289	0	19	0	2	0	3	0	2	0	0
Bac29	60	91	36	47	80	73	24	63	92	52
Bac290	0	0	0	0	0	0	0	0	0	0
Bac291	0	0	0	0	0	0	0	0	0	0
Bac292	2	2	0	0	0	0	2	0	1	0
Bac293	0	0	0	0	0	0	0	0	0	0
Bac294	0	0	0	0	0	0	0	0	0	0
Bac295	0	0	0	0	0	0	0	0	0	0
Bac297	1	0	1	0	4	0	0	0	1	0
Bac299	0	0	0	0	0	0	0	0	0	0
Bac3	641	627	207	210	513	270	281	287	901	160
Bac30	2	5	0	12	0	46	0	900	0	7
Bac301	0	0	0	0	0	0	0	0	0	0
Bac303	0	0	0	0	0	0	0	0	0	0
Bac305	1	0	1	1	1	0	0	1	1	0
Bac31	23	4	9	1	17	0	19	4	32	2
Bac310	0	0	0	0	0	0	0	0	0	0
Bac311	0	0	0	1	1	0	0	0	5	1
Bac312	0	0	0	0	0	0	0	0	0	0
Bac313	0	0	0	0	0	0	0	0	0	0
Bac316	0	0	0	0	0	0	1	0	0	0
Bac317	0	0	0	0	0	0	0	0	0	0
Bac318	0	0	0	0	0	0	0	0	0	0
Bac319	0	0	0	0	1	0	0	0	1	0
Bac32	111	31	38	19	108	48	76	35	198	35
Bac321	0	0	0	0	2	1	0	2	1	0
Bac322	1	0	1	0	10	0	1	1	2	0
Bac324	0	0	0	0	0	0	0	0	0	0
Bac326	0	0	0	0	0	0	0	0	0	0
Bac327	0	0	0	0	0	0	0	0	0	0
Bac33	9	22	4	10	59	26	9	15	20	7
Bac330	0	0	0	1	0	0	0	0	0	1
Bac331	3	0	0	1	0	2	0	1	0	1
Bac334	0	0	0	0	0	0	0	0	0	0
Bac335	0	0	0	0	0	0	0	0	0	0
Bac336	0	1	0	0	0	0	2	0	0	0
Bac337	0	0	0	0	0	0	1	0	0	0
Bac338	0	0	0	0	0	0	0	0	0	0
Bac339	0	0	0	0	0	0	0	0	0	0
Bac34	116	58	79	16	249	3	120	17	219	32
Bac344	6	41	9	27	9	8	6	15	20	17
Bac345	0	0	2	0	1	0	0	0	0	0
Bac346	0	0	0	0	0	0	0	0	0	0
Bac348	0	0	0	0	0	0	0	0	0	0
Bac349	0	0	0	0	0	0	0	0	0	0
Bac35	0	0	0	0	0	0	0	0	0	0
Bac350	0	0	0	0	0	0	0	0	0	0
Bac351	0	0	0	0	0	0	0	0	0	0
Bac353	0	0	0	0	0	0	0	0	0	0
Bac354	2	0	0	0	0	0	0	0	1	0
Bac355	2	0	2	0	4	0	1	1	2	1
Bac356	0	0	0	0	0	0	0	0	0	0
Bac357	0	0	0	0	3	0	0	0	1	0
